"Mode","Predictor set","CIRN coefficient","omega","OR","95% HDI","Regulation type","HDI decision","Credibility","Class (0/1)","Jitter"
"multivariable","original","X -> dX","-1.29","0.28","[-2.14, -0.46]","inhibition","Retained","credible","41/57","No (raw)"
"multivariable","all_predictors","X -> dX","-0.73","0.48","[-2.99, 1.48]","inhibition","Not retained","uncertain","41/57","No (raw)"
"pairwise","original","X -> dX","-0.42","0.66","[-0.85, -0.01]","inhibition","Retained","credible","41/57","No (raw)"
"pairwise","all_predictors","X -> dX","-0.51","0.60","[-1.05, 0.02]","inhibition","Not retained","uncertain","41/57","No (raw)"
"multivariable","original","X -> dY","5.57","262.66","[3.53, 7.72]","activation","Retained","credible","66/32","No (raw)"
"multivariable","all_predictors","X -> dY","5.84","343.00","[3.60, 8.28]","activation","Retained","credible","66/32","No (raw)"
"pairwise","original","X -> dY","4.29","72.82","[2.78, 6.02]","activation","Retained","credible","66/32","No (raw)"
"pairwise","all_predictors","X -> dY","5.75","314.02","[3.67, 7.86]","activation","Retained","credible","66/32","No (raw)"
"multivariable","original","Y -> dX","-5.85","2.87e-03","[-8.11, -3.68]","inhibition","Retained","credible","41/57","No (raw)"
"multivariable","all_predictors","Y -> dX","-5.85","2.89e-03","[-8.27, -3.49]","inhibition","Retained","credible","41/57","No (raw)"
"pairwise","original","Y -> dX","-4.80","8.20e-03","[-6.60, -3.08]","inhibition","Retained","credible","41/57","No (raw)"
"pairwise","all_predictors","Y -> dX","-6.09","2.26e-03","[-8.34, -4.02]","inhibition","Retained","credible","41/57","No (raw)"
"multivariable","original","Y -> dY","-1.64","0.19","[-2.69, -0.62]","inhibition","Retained","credible","66/32","No (raw)"
"multivariable","all_predictors","Y -> dY","-0.66","0.52","[-3.28, 1.85]","inhibition","Not retained","uncertain","66/32","No (raw)"
"pairwise","original","Y -> dY","-0.50","0.61","[-0.99, -0.05]","inhibition","Retained","credible","66/32","No (raw)"
"pairwise","all_predictors","Y -> dY","-0.33","0.72","[-0.93, 0.29]","inhibition","Not retained","uncertain","66/32","No (raw)"
"multivariable","first_derivative","dX -> dY","0.49","1.63","[0.03, 1.00]","activation","Retained","credible","66/32","No (raw)"
"multivariable","all_predictors","dX -> dY","1.10","3.01","[-1.53, 3.73]","activation","Not retained","uncertain","66/32","No (raw)"
"pairwise","first_derivative","dX -> dY","0.49","1.63","[0.03, 1.00]","activation","Retained","credible","66/32","No (raw)"
"pairwise","all_predictors","dX -> dY","1.41","4.11","[0.39, 2.44]","activation","Retained","credible","66/32","No (raw)"
"multivariable","first_derivative","dY -> dX","-0.26","0.77","[-0.66, 0.15]","inhibition","Not retained","uncertain","41/57","No (raw)"
"multivariable","all_predictors","dY -> dX","0.51","1.67","[-2.33, 3.28]","activation","Not retained","uncertain","41/57","No (raw)"
"pairwise","first_derivative","dY -> dX","-0.26","0.77","[-0.66, 0.15]","inhibition","Not retained","uncertain","41/57","No (raw)"
"pairwise","all_predictors","dY -> dX","-1.19","0.30","[-2.59, -0.05]","inhibition","Retained","credible","41/57","No (raw)"
"multivariable","second_derivative","d²X -> dX","2.23","9.31","[1.11, 3.49]","activation","Retained","credible","41/57","No (raw)"
"multivariable","all_predictors","d²X -> dX","1.90","6.69","[-0.73, 4.50]","activation","Not retained","uncertain","41/57","No (raw)"
"pairwise","second_derivative","d²X -> dX","0.19","1.21","[-0.26, 0.60]","activation","Not retained","uncertain","41/57","No (raw)"
"pairwise","all_predictors","d²X -> dX","-0.12","0.88","[-0.65, 0.40]","inhibition","Not retained","uncertain","41/57","No (raw)"
"multivariable","second_derivative","d²X -> dY","-2.29","0.10","[-3.53, -1.07]","inhibition","Retained","credible","66/32","No (raw)"
"multivariable","all_predictors","d²X -> dY","-1.42","0.24","[-4.36, 1.29]","inhibition","Not retained","uncertain","66/32","No (raw)"
"pairwise","second_derivative","d²X -> dY","-1.98","0.14","[-3.10, -0.99]","inhibition","Retained","credible","66/32","No (raw)"
"pairwise","all_predictors","d²X -> dY","-1.43","0.24","[-3.81, 1.11]","inhibition","Not retained","uncertain","66/32","No (raw)"
"multivariable","second_derivative","d²Y -> dX","3.30","27.20","[1.69, 4.93]","activation","Retained","credible","41/57","No (raw)"
"multivariable","all_predictors","d²Y -> dX","0.39","1.48","[-2.22, 3.12]","activation","Not retained","uncertain","41/57","No (raw)"
"pairwise","second_derivative","d²Y -> dX","1.12","3.05","[0.51, 1.74]","activation","Retained","credible","41/57","No (raw)"
"pairwise","all_predictors","d²Y -> dX","-1.08","0.34","[-3.01, 1.15]","inhibition","Not retained","uncertain","41/57","No (raw)"
"multivariable","second_derivative","d²Y -> dY","-0.39","0.67","[-1.09, 0.37]","inhibition","Not retained","uncertain","66/32","No (raw)"
"multivariable","all_predictors","d²Y -> dY","-0.25","0.78","[-3.05, 2.34]","inhibition","Not retained","uncertain","66/32","No (raw)"
"pairwise","second_derivative","d²Y -> dY","0.55","1.73","[0.02, 1.14]","activation","Retained","credible","66/32","No (raw)"
"pairwise","all_predictors","d²Y -> dY","0.36","1.43","[-0.35, 1.03]","activation","Not retained","uncertain","66/32","No (raw)"
