"predictor_set","term","target","omega","odds_ratio","sign","regulation_type","hdi_lower95","hdi_upper95","eti_lower95","eti_upper95","retained","credibility","response_mode","response_label","response_source","response_trigger","dominant_direction","class_0_count","class_1_count","min_class_count","jitter_used","jitter_scale_factor","jitter_scale","jitter_basis","jitter_basis_value","jitter_attempts","predictor_jitter_used","predictor_jitter_scale_factor","predictor_jitter_variables","effect_interpretation","analysis_mode","pairwise_predictor","rel_strength","n_predictors","pairwise_target","method"
"original","X","dX",-1.28984932105232,0.275312263726725,-1,"inhibition",-2.1388334,-0.45740742,-2.2029437375,-0.50504638825,TRUE,"credible","directional","raw_first_derivative_direction","X_d1","raw_directional",1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","multivariable",NA,NA,NA,NA,"Bayesian Logistic (brms)"
"original","Y","dX",-5.854965533675,0.00286563436729767,-1,"inhibition",-8.1096476,-3.6808857,-8.3348104275,-3.8586688025,TRUE,"credible","directional","raw_first_derivative_direction","X_d1","raw_directional",1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","multivariable",NA,NA,NA,NA,"Bayesian Logistic (brms)"
"first_derivative","Y_d1","dX",-0.263199486527156,0.768588558954763,-1,"inhibition",-0.66151927,0.1471431,-0.67889270275,0.134353021,FALSE,"uncertain","directional","raw_first_derivative_direction","X_d1","raw_directional",1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","multivariable",NA,NA,NA,NA,"Bayesian Logistic (brms)"
"second_derivative","X_d2","dX",2.23099712626375,9.30914384498391,1,"activation",1.109318,3.4906848,1.15393788,3.556634845,TRUE,"credible","directional","raw_first_derivative_direction","X_d1","raw_directional",1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","multivariable",NA,NA,NA,NA,"Bayesian Logistic (brms)"
"second_derivative","Y_d2","dX",3.303262568,27.2012402040601,1,"activation",1.6880821,4.9345059,1.8294494225,5.1378002825,TRUE,"credible","directional","raw_first_derivative_direction","X_d1","raw_directional",1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","multivariable",NA,NA,NA,NA,"Bayesian Logistic (brms)"
"all_predictors","X","dX",-0.726626867974904,0.483537277408016,-1,"inhibition",-2.985191,1.4775917,-2.9470133225,1.542385445,FALSE,"uncertain","directional","raw_first_derivative_direction","X_d1","raw_directional",1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","multivariable",NA,NA,NA,NA,"Bayesian Logistic (brms)"
"all_predictors","Y","dX",-5.847895308625,0.00288596684006626,-1,"inhibition",-8.2729569,-3.4906134,-8.4364060275,-3.6458741175,TRUE,"credible","directional","raw_first_derivative_direction","X_d1","raw_directional",1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","multivariable",NA,NA,NA,NA,"Bayesian Logistic (brms)"
"all_predictors","Y_d1","dX",0.512517865500129,1.66948945730533,1,"activation",-2.3319956,3.2827477,-2.3278843225,3.286162445,FALSE,"uncertain","directional","raw_first_derivative_direction","X_d1","raw_directional",1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","multivariable",NA,NA,NA,NA,"Bayesian Logistic (brms)"
"all_predictors","X_d2","dX",1.89988993828915,6.68515862179196,1,"activation",-0.73230861,4.5024047,-0.62219050925,4.6255560075,FALSE,"uncertain","directional","raw_first_derivative_direction","X_d1","raw_directional",1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","multivariable",NA,NA,NA,NA,"Bayesian Logistic (brms)"
"all_predictors","Y_d2","dX",0.391770752286564,1.47959847795165,1,"activation",-2.2202992,3.1248999,-2.18208455,3.1968151325,FALSE,"uncertain","directional","raw_first_derivative_direction","X_d1","raw_directional",1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","multivariable",NA,NA,NA,NA,"Bayesian Logistic (brms)"
"original","X","dY",5.5708507629,262.657463437121,1,"activation",3.5295223,7.7187661,3.630970735,7.88426539,TRUE,"credible","directional","raw_first_derivative_direction","Y_d1","raw_directional",-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","multivariable",NA,NA,NA,NA,"Bayesian Logistic (brms)"
"original","Y","dY",-1.64154662098662,0.193680260570606,-1,"inhibition",-2.6878304,-0.61691725,-2.7654390025,-0.6684273475,TRUE,"credible","directional","raw_first_derivative_direction","Y_d1","raw_directional",-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","multivariable",NA,NA,NA,NA,"Bayesian Logistic (brms)"
"first_derivative","X_d1","dY",0.490792983201259,1.6336111326511,1,"activation",0.034843838,0.99968567,0.03033928465,0.9967561605,TRUE,"credible","directional","raw_first_derivative_direction","Y_d1","raw_directional",-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","multivariable",NA,NA,NA,NA,"Bayesian Logistic (brms)"
"second_derivative","X_d2","dY",-2.2875142937725,0.101518493637468,-1,"inhibition",-3.5284419,-1.0714725,-3.6889400375,-1.1935984325,TRUE,"credible","directional","raw_first_derivative_direction","Y_d1","raw_directional",-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","multivariable",NA,NA,NA,NA,"Bayesian Logistic (brms)"
"second_derivative","Y_d2","dY",-0.393585496474544,0.674633636313621,-1,"inhibition",-1.0919289,0.36958195,-1.12412827,0.3423958265,FALSE,"uncertain","directional","raw_first_derivative_direction","Y_d1","raw_directional",-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","multivariable",NA,NA,NA,NA,"Bayesian Logistic (brms)"
"all_predictors","X","dY",5.8377202116625,342.996489240287,1,"activation",3.5953915,8.281736,3.620213675,8.315178855,TRUE,"credible","directional","raw_first_derivative_direction","Y_d1","raw_directional",-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","multivariable",NA,NA,NA,NA,"Bayesian Logistic (brms)"
