"predictor_set","term","target","omega","odds_ratio","sign","regulation_type","rel_strength","hdi_lower95","hdi_upper95","eti_lower95","eti_upper95","response_mode","response_label","response_source","response_trigger","dominant_direction","class_0_count","class_1_count","min_class_count","jitter_used","jitter_scale_factor","jitter_scale","jitter_basis","jitter_basis_value","jitter_attempts","predictor_jitter_used","predictor_jitter_scale_factor","predictor_jitter_variables","effect_interpretation","analysis_mode","pairwise_predictor","method"
"original","X","dX",-1.28984932105232,0.275312263726725,-1,"inhibition","weak",-2.1388334,-0.45740742,-2.2029437375,-0.50504638825,"directional","raw_first_derivative_direction","X_d1","raw_directional",1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","multivariable",NA,"Bayesian Logistic (brms)"
"original","Y","dX",-5.854965533675,0.00286563436729767,-1,"inhibition","strong",-8.1096476,-3.6808857,-8.3348104275,-3.8586688025,"directional","raw_first_derivative_direction","X_d1","raw_directional",1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","multivariable",NA,"Bayesian Logistic (brms)"
"second_derivative","X_d2","dX",2.23099712626375,9.30914384498391,1,"activation","weak",1.109318,3.4906848,1.15393788,3.556634845,"directional","raw_first_derivative_direction","X_d1","raw_directional",1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","multivariable",NA,"Bayesian Logistic (brms)"
"second_derivative","Y_d2","dX",3.303262568,27.2012402040601,1,"activation","moderate",1.6880821,4.9345059,1.8294494225,5.1378002825,"directional","raw_first_derivative_direction","X_d1","raw_directional",1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","multivariable",NA,"Bayesian Logistic (brms)"
"all_predictors","Y","dX",-5.847895308625,0.00288596684006626,-1,"inhibition","strong",-8.2729569,-3.4906134,-8.4364060275,-3.6458741175,"directional","raw_first_derivative_direction","X_d1","raw_directional",1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","multivariable",NA,"Bayesian Logistic (brms)"
"original","X","dY",5.5708507629,262.657463437121,1,"activation","strong",3.5295223,7.7187661,3.630970735,7.88426539,"directional","raw_first_derivative_direction","Y_d1","raw_directional",-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","multivariable",NA,"Bayesian Logistic (brms)"
"original","Y","dY",-1.64154662098662,0.193680260570606,-1,"inhibition","weak",-2.6878304,-0.61691725,-2.7654390025,-0.6684273475,"directional","raw_first_derivative_direction","Y_d1","raw_directional",-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","multivariable",NA,"Bayesian Logistic (brms)"
"first_derivative","X_d1","dY",0.490792983201259,1.6336111326511,1,"activation","weak",0.034843838,0.99968567,0.03033928465,0.9967561605,"directional","raw_first_derivative_direction","Y_d1","raw_directional",-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","multivariable",NA,"Bayesian Logistic (brms)"
"second_derivative","X_d2","dY",-2.2875142937725,0.101518493637468,-1,"inhibition","moderate",-3.5284419,-1.0714725,-3.6889400375,-1.1935984325,"directional","raw_first_derivative_direction","Y_d1","raw_directional",-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","multivariable",NA,"Bayesian Logistic (brms)"
"all_predictors","X","dY",5.8377202116625,342.996489240287,1,"activation","strong",3.5953915,8.281736,3.620213675,8.315178855,"directional","raw_first_derivative_direction","Y_d1","raw_directional",-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","multivariable",NA,"Bayesian Logistic (brms)"
