"analysis_mode","target","predictor_set","pairwise_predictor","status","class_0_count","class_1_count","usable_n","minority_class_count","n_predictors","minority_per_predictor","class_balance","jitter_used","predictor_jitter_used","sample_size_flag"
"multivariable","X","original",NA,"completed",41,57,98,41,2,20.5,0.418367346938776,FALSE,FALSE,"adequate_basic"
"multivariable","X","first_derivative",NA,"completed",41,57,98,41,1,41,0.418367346938776,FALSE,FALSE,"adequate_basic"
"multivariable","X","second_derivative",NA,"completed",41,57,98,41,2,20.5,0.418367346938776,FALSE,FALSE,"adequate_basic"
"multivariable","X","all_predictors",NA,"completed",41,57,98,41,5,8.2,0.418367346938776,FALSE,FALSE,"adequate_basic"
"multivariable","Y","original",NA,"completed",66,32,98,32,2,16,0.326530612244898,FALSE,FALSE,"adequate_basic"
"multivariable","Y","first_derivative",NA,"completed",66,32,98,32,1,32,0.326530612244898,FALSE,FALSE,"adequate_basic"
"multivariable","Y","second_derivative",NA,"completed",66,32,98,32,2,16,0.326530612244898,FALSE,FALSE,"adequate_basic"
"multivariable","Y","all_predictors",NA,"completed",66,32,98,32,5,6.4,0.326530612244898,FALSE,FALSE,"adequate_basic"
"pairwise","X","original","X","completed",41,57,98,41,1,41,0.418367346938776,FALSE,FALSE,"adequate_basic"
"pairwise","X","first_derivative","X","skipped_no_predictors",41,57,98,41,0,NA,0.418367346938776,FALSE,FALSE,"not_fitted_skipped_no_predictors"
"pairwise","X","second_derivative","X","completed",41,57,98,41,1,41,0.418367346938776,FALSE,FALSE,"adequate_basic"
"pairwise","X","all_predictors","X","completed",41,57,98,41,2,20.5,0.418367346938776,FALSE,FALSE,"adequate_basic"
"pairwise","X","original","Y","completed",41,57,98,41,1,41,0.418367346938776,FALSE,FALSE,"adequate_basic"
"pairwise","X","first_derivative","Y","completed",41,57,98,41,1,41,0.418367346938776,FALSE,FALSE,"adequate_basic"
"pairwise","X","second_derivative","Y","completed",41,57,98,41,1,41,0.418367346938776,FALSE,FALSE,"adequate_basic"
"pairwise","X","all_predictors","Y","completed",41,57,98,41,3,13.6666666666667,0.418367346938776,FALSE,FALSE,"adequate_basic"
"pairwise","Y","original","X","completed",66,32,98,32,1,32,0.326530612244898,FALSE,FALSE,"adequate_basic"
"pairwise","Y","first_derivative","X","completed",66,32,98,32,1,32,0.326530612244898,FALSE,FALSE,"adequate_basic"
"pairwise","Y","second_derivative","X","completed",66,32,98,32,1,32,0.326530612244898,FALSE,FALSE,"adequate_basic"
"pairwise","Y","all_predictors","X","completed",66,32,98,32,3,10.6666666666667,0.326530612244898,FALSE,FALSE,"adequate_basic"
"pairwise","Y","original","Y","completed",66,32,98,32,1,32,0.326530612244898,FALSE,FALSE,"adequate_basic"
"pairwise","Y","first_derivative","Y","skipped_no_predictors",66,32,98,32,0,NA,0.326530612244898,FALSE,FALSE,"not_fitted_skipped_no_predictors"
"pairwise","Y","second_derivative","Y","completed",66,32,98,32,1,32,0.326530612244898,FALSE,FALSE,"adequate_basic"
"pairwise","Y","all_predictors","Y","completed",66,32,98,32,2,16,0.326530612244898,FALSE,FALSE,"adequate_basic"
