"predictor_set","term","target","omega","odds_ratio","sign","regulation_type","rel_strength","hdi_lower95","hdi_upper95","eti_lower95","eti_upper95","response_mode","response_label","response_source","response_trigger","dominant_direction","class_0_count","class_1_count","min_class_count","jitter_used","jitter_scale_factor","jitter_scale","jitter_basis","jitter_basis_value","jitter_attempts","predictor_jitter_used","predictor_jitter_scale_factor","predictor_jitter_variables","effect_interpretation","analysis_mode","pairwise_target","pairwise_predictor","method"
"original","X","dX",-0.422319144046959,0.655524799169043,-1,"inhibition","credible",-0.84871831,-0.0066925837,-0.84564848125,0.00354876784749996,"directional","raw_first_derivative_direction","X_d1","raw_directional",1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","pairwise","X","X","Bayesian Logistic (brms)"
"original","Y","dX",-4.803380849675,0.00820197049202336,-1,"inhibition","strong",-6.5967326,-3.0752726,-6.7964365875,-3.2137177425,"directional","raw_first_derivative_direction","X_d1","raw_directional",1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","pairwise","X","Y","Bayesian Logistic (brms)"
"second_derivative","Y_d2","dX",1.1153020095325,3.05048931693199,1,"activation","weak",0.50822478,1.7399169,0.5557791545,1.8070429025,"directional","raw_first_derivative_direction","X_d1","raw_directional",1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","pairwise","X","Y","Bayesian Logistic (brms)"
"all_predictors","Y","dX",-6.09362445375,0.00225721290697576,-1,"inhibition","strong",-8.3360089,-4.0244749,-8.4408754475,-4.103120515,"directional","raw_first_derivative_direction","X_d1","raw_directional",1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","pairwise","X","Y","Bayesian Logistic (brms)"
"all_predictors","Y_d1","dX",-1.18828156970046,0.304744496545153,-1,"inhibition","moderate",-2.5900989,-0.053223004,-2.6020884425,-0.0607185791250007,"directional","raw_first_derivative_direction","X_d1","raw_directional",1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","pairwise","X","Y","Bayesian Logistic (brms)"
"original","X","dY",4.2879384363625,72.8161984302938,1,"activation","strong",2.7779303,6.0217574,2.83457488,6.11045662,"directional","raw_first_derivative_direction","Y_d1","raw_directional",-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","pairwise","Y","X","Bayesian Logistic (brms)"
"first_derivative","X_d1","dY",0.490792983201259,1.6336111326511,1,"activation","weak",0.034843838,0.99968567,0.03033928465,0.9967561605,"directional","raw_first_derivative_direction","Y_d1","raw_directional",-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","pairwise","Y","X","Bayesian Logistic (brms)"
"second_derivative","X_d2","dY",-1.98080227182375,0.137958512673639,-1,"inhibition","moderate",-3.0957251,-0.9945469,-3.1842504725,-1.0409007075,"directional","raw_first_derivative_direction","Y_d1","raw_directional",-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","pairwise","Y","X","Bayesian Logistic (brms)"
"all_predictors","X","dY",5.7494635945125,314.022171884487,1,"activation","strong",3.6695408,7.8551098,3.785411305,8.0303364075,"directional","raw_first_derivative_direction","Y_d1","raw_directional",-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","pairwise","Y","X","Bayesian Logistic (brms)"
"all_predictors","X_d1","dY",1.412656015854,4.10684878665622,1,"activation","weak",0.38984237,2.442728,0.393094081,2.4458307025,"directional","raw_first_derivative_direction","Y_d1","raw_directional",-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","pairwise","Y","X","Bayesian Logistic (brms)"
"original","Y","dY",-0.501686335972077,0.605508707162845,-1,"inhibition","weak",-0.99005397,-0.051929162,-0.997868683,-0.0579564703500004,"directional","raw_first_derivative_direction","Y_d1","raw_directional",-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","pairwise","Y","Y","Bayesian Logistic (brms)"
"second_derivative","Y_d2","dY",0.55089582569179,1.73480640612985,1,"activation","strong",0.01928374,1.1398807,0.0301230771,1.1549847175,"directional","raw_first_derivative_direction","Y_d1","raw_directional",-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,"positive_beta_increases_probability_of_target_increase","pairwise","Y","Y","Bayesian Logistic (brms)"
