"target","predictor_set","term","vif","status","aliased","model_rank","model_columns","rank_deficient","note","pairwise_predictor"
"dX","original","X",NA,"single_predictor",FALSE,2,2,FALSE,"VIF requires at least two predictors.","X"
"dX","second_derivative","X_d2",NA,"single_predictor",FALSE,2,2,FALSE,"VIF requires at least two predictors.","X"
"dX","all_predictors","X",1.68739197733148,"ok",FALSE,3,3,FALSE,"VIF computed successfully.","X"
"dX","all_predictors","X_d2",1.68739197733148,"ok",FALSE,3,3,FALSE,"VIF computed successfully.","X"
"dX","original","Y",NA,"single_predictor",FALSE,2,2,FALSE,"VIF requires at least two predictors.","Y"
"dX","first_derivative","Y_d1",NA,"single_predictor",FALSE,2,2,FALSE,"VIF requires at least two predictors.","Y"
"dX","second_derivative","Y_d2",NA,"single_predictor",FALSE,2,2,FALSE,"VIF requires at least two predictors.","Y"
"dX","all_predictors","Y",1.98126888852776,"ok",FALSE,4,4,FALSE,"VIF computed successfully.","Y"
"dX","all_predictors","Y_d1",1.00940160615638,"ok",FALSE,4,4,FALSE,"VIF computed successfully.","Y"
"dX","all_predictors","Y_d2",1.98772436926726,"ok",FALSE,4,4,FALSE,"VIF computed successfully.","Y"
"dY","original","X",NA,"single_predictor",FALSE,2,2,FALSE,"VIF requires at least two predictors.","X"
"dY","first_derivative","X_d1",NA,"single_predictor",FALSE,2,2,FALSE,"VIF requires at least two predictors.","X"
"dY","second_derivative","X_d2",NA,"single_predictor",FALSE,2,2,FALSE,"VIF requires at least two predictors.","X"
"dY","all_predictors","X",1.69912308950049,"ok",FALSE,4,4,FALSE,"VIF computed successfully.","X"
"dY","all_predictors","X_d1",1.01141043570604,"ok",FALSE,4,4,FALSE,"VIF computed successfully.","X"
"dY","all_predictors","X_d2",1.70586064425179,"ok",FALSE,4,4,FALSE,"VIF computed successfully.","X"
"dY","original","Y",NA,"single_predictor",FALSE,2,2,FALSE,"VIF requires at least two predictors.","Y"
"dY","second_derivative","Y_d2",NA,"single_predictor",FALSE,2,2,FALSE,"VIF requires at least two predictors.","Y"
"dY","all_predictors","Y",1.96957262206111,"ok",FALSE,3,3,FALSE,"VIF computed successfully.","Y"
"dY","all_predictors","Y_d2",1.96957262206111,"ok",FALSE,3,3,FALSE,"VIF computed successfully.","Y"
