"Mode","Target response","Predictor set","Pairwise predictor","Status","Predictors","Class (0/1)","Usable n","Minority/predictor","Class balance","Max Rhat","Min ESS ratio","Max VIF","VIF status","Rank/Alias","Jitter","Sample-size flag","LOO ELPD"
"multivariable","dX","original","","completed",2,"41/57",98,"20.50","0.42","1.00","0.41","1.00","ok","Full rank/no alias","No (raw)","adequate_basic",""
"multivariable","dX","first_derivative","","completed",1,"41/57",98,"41.00","0.42","1.00","0.43","","single_predictor","Full rank/no alias","No (raw)","adequate_basic",""
"multivariable","dX","second_derivative","","completed",2,"41/57",98,"20.50","0.42","1.00","0.24","1.51","ok","Full rank/no alias","No (raw)","adequate_basic",""
"multivariable","dX","all_predictors","","completed",5,"41/57",98,"8.20","0.42","1.00","0.37","783.42","severe_collinearity","Full rank/no alias","No (raw)","adequate_basic",""
"multivariable","dY","original","","completed",2,"66/32",98,"16.00","0.33","1.00","0.44","1.00","ok","Full rank/no alias","No (raw)","adequate_basic",""
"multivariable","dY","first_derivative","","completed",1,"66/32",98,"32.00","0.33","1.00","0.46","","single_predictor","Full rank/no alias","No (raw)","adequate_basic",""
"multivariable","dY","second_derivative","","completed",2,"66/32",98,"16.00","0.33","1.00","0.44","1.51","ok","Full rank/no alias","No (raw)","adequate_basic",""
"multivariable","dY","all_predictors","","completed",5,"66/32",98,"6.40","0.33","1.00","0.39","635.37","severe_collinearity","Full rank/no alias","No (raw)","adequate_basic",""
"pairwise","dX","original","X","completed",1,"41/57",98,"41.00","0.42","1.00","0.48","","single_predictor","Full rank/no alias","No (raw)","adequate_basic",""
"pairwise","dX","first_derivative","X","skipped_no_predictors",0,"41/57",98,"","0.42","","","","not_available","Not available","No (raw)","not_fitted_skipped_no_predictors",""
"pairwise","dX","second_derivative","X","completed",1,"41/57",98,"41.00","0.42","1.00","0.42","","single_predictor","Full rank/no alias","No (raw)","adequate_basic",""
"pairwise","dX","all_predictors","X","completed",2,"41/57",98,"20.50","0.42","1.00","0.38","1.69","ok","Full rank/no alias","No (raw)","adequate_basic",""
"pairwise","dX","original","Y","completed",1,"41/57",98,"41.00","0.42","1.00","0.40","","single_predictor","Full rank/no alias","No (raw)","adequate_basic",""
"pairwise","dX","first_derivative","Y","completed",1,"41/57",98,"41.00","0.42","1.00","0.43","","single_predictor","Full rank/no alias","No (raw)","adequate_basic",""
"pairwise","dX","second_derivative","Y","completed",1,"41/57",98,"41.00","0.42","1.00","0.42","","single_predictor","Full rank/no alias","No (raw)","adequate_basic",""
"pairwise","dX","all_predictors","Y","completed",3,"41/57",98,"13.67","0.42","1.00","0.28","1.99","ok","Full rank/no alias","No (raw)","adequate_basic",""
"pairwise","dY","original","X","completed",1,"66/32",98,"32.00","0.33","1.00","0.37","","single_predictor","Full rank/no alias","No (raw)","adequate_basic",""
"pairwise","dY","first_derivative","X","completed",1,"66/32",98,"32.00","0.33","1.00","0.46","","single_predictor","Full rank/no alias","No (raw)","adequate_basic",""
"pairwise","dY","second_derivative","X","completed",1,"66/32",98,"32.00","0.33","1.00","0.40","","single_predictor","Full rank/no alias","No (raw)","adequate_basic",""
"pairwise","dY","all_predictors","X","completed",3,"66/32",98,"10.67","0.33","1.00","0.40","1.71","ok","Full rank/no alias","No (raw)","adequate_basic",""
"pairwise","dY","original","Y","completed",1,"66/32",98,"32.00","0.33","1.00","0.45","","single_predictor","Full rank/no alias","No (raw)","adequate_basic",""
"pairwise","dY","first_derivative","Y","skipped_no_predictors",0,"66/32",98,"","0.33","","","","not_available","Not available","No (raw)","not_fitted_skipped_no_predictors",""
"pairwise","dY","second_derivative","Y","completed",1,"66/32",98,"32.00","0.33","1.00","0.44","","single_predictor","Full rank/no alias","No (raw)","adequate_basic",""
"pairwise","dY","all_predictors","Y","completed",2,"66/32",98,"16.00","0.33","1.00","0.46","1.97","ok","Full rank/no alias","No (raw)","adequate_basic",""
