"Mode","Predictor set","CIRN edge","omega","OR","95% HDI","Strength","Support","Class (0/1)","Jitter"
"multivariable","original","X -| dX","-1.29","0.28","[-2.14, -0.46]","weak","P,S","41/57","No (raw)"
"pairwise","original","X -| dX","-0.42","0.66","[-0.85, -0.01]","credible","P,S","41/57","No (raw)"
"multivariable","original","X -> dY","5.57","262.66","[3.53, 7.72]","strong","P,S,A","66/32","No (raw)"
"multivariable","all_predictors","X -> dY","5.84","343.00","[3.60, 8.28]","strong","P,S,A","66/32","No (raw)"
"pairwise","original","X -> dY","4.29","72.82","[2.78, 6.02]","strong","P,S,A","66/32","No (raw)"
"pairwise","all_predictors","X -> dY","5.75","314.02","[3.67, 7.86]","strong","P,S,A","66/32","No (raw)"
"multivariable","original","Y -| dX","-5.85","2.87e-03","[-8.11, -3.68]","strong","P,S,A","41/57","No (raw)"
"multivariable","all_predictors","Y -| dX","-5.85","2.89e-03","[-8.27, -3.49]","strong","P,S,A","41/57","No (raw)"
"pairwise","original","Y -| dX","-4.80","8.20e-03","[-6.60, -3.08]","strong","P,S,A","41/57","No (raw)"
"pairwise","all_predictors","Y -| dX","-6.09","2.26e-03","[-8.34, -4.02]","strong","P,S,A","41/57","No (raw)"
"multivariable","original","Y -| dY","-1.64","0.19","[-2.69, -0.62]","weak","P,S","66/32","No (raw)"
"pairwise","original","Y -| dY","-0.50","0.61","[-0.99, -0.05]","weak","P,S","66/32","No (raw)"
"multivariable","first_derivative","dX -> dY","0.49","1.63","[0.03, 1.00]","weak","P,S","66/32","No (raw)"
"pairwise","first_derivative","dX -> dY","0.49","1.63","[0.03, 1.00]","weak","P,S","66/32","No (raw)"
"pairwise","all_predictors","dX -> dY","1.41","4.11","[0.39, 2.44]","weak","P,S","66/32","No (raw)"
"pairwise","all_predictors","dY -| dX","-1.19","0.30","[-2.59, -0.05]","moderate","P","41/57","No (raw)"
"multivariable","second_derivative","d²X -> dX","2.23","9.31","[1.11, 3.49]","weak","S","41/57","No (raw)"
"multivariable","second_derivative","d²X -| dY","-2.29","0.10","[-3.53, -1.07]","moderate","P,S","66/32","No (raw)"
"pairwise","second_derivative","d²X -| dY","-1.98","0.14","[-3.10, -0.99]","moderate","P,S","66/32","No (raw)"
"multivariable","second_derivative","d²Y -> dX","3.30","27.20","[1.69, 4.93]","moderate","P,S","41/57","No (raw)"
"pairwise","second_derivative","d²Y -> dX","1.12","3.05","[0.51, 1.74]","weak","P,S","41/57","No (raw)"
"pairwise","second_derivative","d²Y -> dY","0.55","1.73","[0.02, 1.14]","strong","P","66/32","No (raw)"
