"target","predictor_set","predictor_1","predictor_2","correlation","abs_correlation","status"
"dX","original","X","Y",0.00946336313509213,0.00946336313509213,"ok"
"dX","second_derivative","X_d2","Y_d2",-0.579273627554357,0.579273627554357,"ok"
"dX","all_predictors","X","Y",0.00946336313509213,0.00946336313509213,"ok"
"dX","all_predictors","X","Y_d1",0.893002458307516,0.893002458307516,"ok"
"dX","all_predictors","X","X_d2",-0.63825502042102,0.63825502042102,"ok"
"dX","all_predictors","X","Y_d2",0.0992983937266371,0.0992983937266371,"ok"
"dX","all_predictors","Y","Y_d1",-0.013557062946598,0.013557062946598,"ok"
"dX","all_predictors","Y","X_d2",0.221079230464112,0.221079230464112,"ok"
"dX","all_predictors","Y","Y_d2",-0.70162357393199,0.70162357393199,"ok"
"dX","all_predictors","Y_d1","X_d2",-0.663315829045226,0.663315829045226,"ok"
"dX","all_predictors","Y_d1","Y_d2",-0.0585736378072614,0.0585736378072614,"ok"
"dX","all_predictors","X_d2","Y_d2",-0.579273627554357,0.579273627554357,"ok"
"dY","original","X","Y",0.00946336313509213,0.00946336313509213,"ok"
"dY","second_derivative","X_d2","Y_d2",-0.579273627554357,0.579273627554357,"ok"
"dY","all_predictors","X","Y",0.00946336313509213,0.00946336313509213,"ok"
"dY","all_predictors","X","X_d1",-0.0214497093943966,0.0214497093943966,"ok"
"dY","all_predictors","X","X_d2",-0.63825502042102,0.63825502042102,"ok"
"dY","all_predictors","X","Y_d2",0.0992983937266371,0.0992983937266371,"ok"
"dY","all_predictors","Y","X_d1",-0.867224145484084,0.867224145484084,"ok"
"dY","all_predictors","Y","X_d2",0.221079230464112,0.221079230464112,"ok"
"dY","all_predictors","Y","Y_d2",-0.70162357393199,0.70162357393199,"ok"
"dY","all_predictors","X_d1","X_d2",-0.066392199552433,0.066392199552433,"ok"
"dY","all_predictors","X_d1","Y_d2",0.770626239664295,0.770626239664295,"ok"
"dY","all_predictors","X_d2","Y_d2",-0.579273627554357,0.579273627554357,"ok"
