predictor_set,term,target,omega,odds_ratio,sign,regulation_type,hdi_lower95,hdi_upper95,eti_lower95,eti_upper95,retained,credibility,response_mode,response_label,response_source,response_trigger,dominant_direction,class_0_count,class_1_count,min_class_count,jitter_used,jitter_scale_factor,jitter_scale,jitter_basis,jitter_basis_value,jitter_attempts,predictor_jitter_used,predictor_jitter_scale_factor,predictor_jitter_variables,effect_interpretation,analysis_mode,pairwise_predictor,rel_strength,n_predictors,pairwise_target,method
original,X,dX,-1.289849321052325,0.27531226372672485,-1,inhibition,-2.1388334,-0.45740742,-2.2029437375,-0.5050463882500004,TRUE,credible,directional,raw_first_derivative_direction,X_d1,raw_directional,1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,multivariable,NA,NA,NA,NA,Bayesian Logistic (brms)
original,Y,dX,-5.854965533675,0.0028656343672976707,-1,inhibition,-8.1096476,-3.6808857,-8.3348104275,-3.858668802500002,TRUE,credible,directional,raw_first_derivative_direction,X_d1,raw_directional,1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,multivariable,NA,NA,NA,NA,Bayesian Logistic (brms)
first_derivative,Y_d1,dX,-0.26319948652715625,0.7685885589547629,-1,inhibition,-0.66151927,0.1471431,-0.67889270275,0.1343530209999997,FALSE,uncertain,directional,raw_first_derivative_direction,X_d1,raw_directional,1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,multivariable,NA,NA,NA,NA,Bayesian Logistic (brms)
second_derivative,X_d2,dX,2.23099712626375,9.309143844983911,1,activation,1.109318,3.4906848,1.15393788,3.556634844999999,TRUE,credible,directional,raw_first_derivative_direction,X_d1,raw_directional,1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,multivariable,NA,NA,NA,NA,Bayesian Logistic (brms)
second_derivative,Y_d2,dX,3.303262568,27.201240204060067,1,activation,1.6880821,4.9345058999999996,1.8294494225,5.137800282500001,TRUE,credible,directional,raw_first_derivative_direction,X_d1,raw_directional,1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,multivariable,NA,NA,NA,NA,Bayesian Logistic (brms)
all_predictors,X,dX,-0.7266268679749037,0.4835372774080163,-1,inhibition,-2.985191,1.4775917,-2.9470133224999997,1.5423854449999999,FALSE,uncertain,directional,raw_first_derivative_direction,X_d1,raw_directional,1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,multivariable,NA,NA,NA,NA,Bayesian Logistic (brms)
all_predictors,Y,dX,-5.847895308625,0.002885966840066257,-1,inhibition,-8.2729569,-3.4906134,-8.436406027499999,-3.645874117500001,TRUE,credible,directional,raw_first_derivative_direction,X_d1,raw_directional,1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,multivariable,NA,NA,NA,NA,Bayesian Logistic (brms)
all_predictors,Y_d1,dX,0.5125178655001288,1.6694894573053283,1,activation,-2.3319956,3.2827477,-2.3278843224999997,3.2861624449999973,FALSE,uncertain,directional,raw_first_derivative_direction,X_d1,raw_directional,1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,multivariable,NA,NA,NA,NA,Bayesian Logistic (brms)
all_predictors,X_d2,dX,1.89988993828915,6.685158621791964,1,activation,-0.73230861,4.5024047,-0.62219050925,4.625556007499999,FALSE,uncertain,directional,raw_first_derivative_direction,X_d1,raw_directional,1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,multivariable,NA,NA,NA,NA,Bayesian Logistic (brms)
all_predictors,Y_d2,dX,0.39177075228656355,1.4795984779516531,1,activation,-2.2202992,3.1248999,-2.1820845500000003,3.196815132499999,FALSE,uncertain,directional,raw_first_derivative_direction,X_d1,raw_directional,1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,multivariable,NA,NA,NA,NA,Bayesian Logistic (brms)
