predictor_set,term,target,omega,odds_ratio,sign,regulation_type,rel_strength,hdi_lower95,hdi_upper95,eti_lower95,eti_upper95,response_mode,response_label,response_source,response_trigger,dominant_direction,class_0_count,class_1_count,min_class_count,jitter_used,jitter_scale_factor,jitter_scale,jitter_basis,jitter_basis_value,jitter_attempts,predictor_jitter_used,predictor_jitter_scale_factor,predictor_jitter_variables,effect_interpretation,analysis_mode,pairwise_predictor,pairwise_target,method
original,X,dX,-1.289849321052325,0.27531226372672485,-1,inhibition,weak,-2.1388334,-0.45740742,-2.2029437375,-0.5050463882500004,directional,raw_first_derivative_direction,X_d1,raw_directional,1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,multivariable,NA,NA,Bayesian Logistic (brms)
original,Y,dX,-5.854965533675,0.0028656343672976707,-1,inhibition,strong,-8.1096476,-3.6808857,-8.3348104275,-3.858668802500002,directional,raw_first_derivative_direction,X_d1,raw_directional,1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,multivariable,NA,NA,Bayesian Logistic (brms)
second_derivative,X_d2,dX,2.23099712626375,9.309143844983911,1,activation,weak,1.109318,3.4906848,1.15393788,3.556634844999999,directional,raw_first_derivative_direction,X_d1,raw_directional,1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,multivariable,NA,NA,Bayesian Logistic (brms)
second_derivative,Y_d2,dX,3.303262568,27.201240204060067,1,activation,moderate,1.6880821,4.9345058999999996,1.8294494225,5.137800282500001,directional,raw_first_derivative_direction,X_d1,raw_directional,1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,multivariable,NA,NA,Bayesian Logistic (brms)
all_predictors,Y,dX,-5.847895308625,0.002885966840066257,-1,inhibition,strong,-8.2729569,-3.4906134,-8.436406027499999,-3.645874117500001,directional,raw_first_derivative_direction,X_d1,raw_directional,1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,multivariable,NA,NA,Bayesian Logistic (brms)
original,X,dY,5.5708507629,262.6574634371209,1,activation,strong,3.5295223,7.7187661,3.630970735,7.884265389999999,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,multivariable,NA,NA,Bayesian Logistic (brms)
original,Y,dY,-1.641546620986625,0.1936802605706058,-1,inhibition,weak,-2.6878304,-0.61691725,-2.7654390025,-0.6684273475,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,multivariable,NA,NA,Bayesian Logistic (brms)
first_derivative,X_d1,dY,0.49079298320125875,1.6336111326510974,1,activation,weak,0.034843838,0.99968567,0.030339284650000013,0.9967561605,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,multivariable,NA,NA,Bayesian Logistic (brms)
second_derivative,X_d2,dY,-2.2875142937725,0.10151849363746769,-1,inhibition,moderate,-3.5284419,-1.0714725,-3.6889400374999997,-1.1935984325,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,multivariable,NA,NA,Bayesian Logistic (brms)
all_predictors,X,dY,5.8377202116625,342.99648924028736,1,activation,strong,3.5953915,8.281736,3.620213675,8.315178855,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,multivariable,NA,NA,Bayesian Logistic (brms)
original,X,dX,-0.42231914404695875,0.655524799169043,-1,inhibition,credible,-0.84871831,-0.0066925837,-0.84564848125,0.0035487678474999586,directional,raw_first_derivative_direction,X_d1,raw_directional,1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,X,X,Bayesian Logistic (brms)
original,Y,dX,-4.803380849675,0.008201970492023362,-1,inhibition,strong,-6.5967326,-3.0752726,-6.796436587500001,-3.2137177425000005,directional,raw_first_derivative_direction,X_d1,raw_directional,1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,Y,X,Bayesian Logistic (brms)
second_derivative,Y_d2,dX,1.1153020095325,3.0504893169319938,1,activation,weak,0.50822478,1.7399169,0.5557791545,1.8070429024999994,directional,raw_first_derivative_direction,X_d1,raw_directional,1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,Y,X,Bayesian Logistic (brms)
all_predictors,Y,dX,-6.09362445375,0.0022572129069757603,-1,inhibition,strong,-8.3360089,-4.0244749,-8.4408754475,-4.1031205150000005,directional,raw_first_derivative_direction,X_d1,raw_directional,1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,Y,X,Bayesian Logistic (brms)
all_predictors,Y_d1,dX,-1.1882815697004638,0.3047444965451529,-1,inhibition,moderate,-2.5900989,-0.053223004,-2.6020884425,-0.06071857912500073,directional,raw_first_derivative_direction,X_d1,raw_directional,1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,Y,X,Bayesian Logistic (brms)
original,X,dY,4.2879384363625,72.81619843029378,1,activation,strong,2.7779303,6.0217574,2.83457488,6.110456619999999,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,X,Y,Bayesian Logistic (brms)
first_derivative,X_d1,dY,0.49079298320125875,1.6336111326510974,1,activation,weak,0.034843838,0.99968567,0.030339284650000013,0.9967561605,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,X,Y,Bayesian Logistic (brms)
second_derivative,X_d2,dY,-1.98080227182375,0.13795851267363887,-1,inhibition,moderate,-3.0957251,-0.9945469,-3.1842504724999996,-1.0409007075,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,X,Y,Bayesian Logistic (brms)
all_predictors,X,dY,5.7494635945125,314.0221718844872,1,activation,strong,3.6695408,7.8551098,3.785411305,8.030336407499998,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,X,Y,Bayesian Logistic (brms)
all_predictors,X_d1,dY,1.412656015854,4.106848786656217,1,activation,weak,0.38984237,2.442728,0.3930940810000001,2.445830702499999,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,X,Y,Bayesian Logistic (brms)
original,Y,dY,-0.501686335972077,0.6055087071628453,-1,inhibition,weak,-0.99005397,-0.051929162,-0.997868683,-0.05795647035000044,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,Y,Y,Bayesian Logistic (brms)
second_derivative,Y_d2,dY,0.55089582569179,1.7348064061298474,1,activation,strong,0.01928374,1.1398807,0.03012307710000001,1.1549847174999994,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,Y,Y,Bayesian Logistic (brms)
