target,predictor_set,predictor_1,predictor_2,correlation,abs_correlation,status,analysis_mode,pairwise_predictor
dX,original,X,Y,0.0094633631350921291,0.0094633631350921291,ok,multivariable,NA
dX,second_derivative,X_d2,Y_d2,-0.5792736275543574,0.5792736275543574,ok,multivariable,NA
dX,all_predictors,X,Y,0.0094633631350921291,0.0094633631350921291,ok,multivariable,NA
dX,all_predictors,X,Y_d1,0.8930024583075165,0.8930024583075165,ok,multivariable,NA
dX,all_predictors,X,X_d2,-0.6382550204210199,0.6382550204210199,ok,multivariable,NA
dX,all_predictors,X,Y_d2,0.09929839372663711,0.09929839372663711,ok,multivariable,NA
dX,all_predictors,Y,Y_d1,-0.013557062946597965,0.013557062946597965,ok,multivariable,NA
dX,all_predictors,Y,X_d2,0.22107923046411235,0.22107923046411235,ok,multivariable,NA
dX,all_predictors,Y,Y_d2,-0.7016235739319899,0.7016235739319899,ok,multivariable,NA
dX,all_predictors,Y_d1,X_d2,-0.6633158290452263,0.6633158290452263,ok,multivariable,NA
dX,all_predictors,Y_d1,Y_d2,-0.058573637807261415,0.058573637807261415,ok,multivariable,NA
dX,all_predictors,X_d2,Y_d2,-0.5792736275543574,0.5792736275543574,ok,multivariable,NA
dY,original,X,Y,0.0094633631350921291,0.0094633631350921291,ok,multivariable,NA
dY,second_derivative,X_d2,Y_d2,-0.5792736275543574,0.5792736275543574,ok,multivariable,NA
dY,all_predictors,X,Y,0.0094633631350921291,0.0094633631350921291,ok,multivariable,NA
dY,all_predictors,X,X_d1,-0.02144970939439659,0.02144970939439659,ok,multivariable,NA
dY,all_predictors,X,X_d2,-0.6382550204210199,0.6382550204210199,ok,multivariable,NA
dY,all_predictors,X,Y_d2,0.09929839372663711,0.09929839372663711,ok,multivariable,NA
dY,all_predictors,Y,X_d1,-0.8672241454840836,0.8672241454840836,ok,multivariable,NA
dY,all_predictors,Y,X_d2,0.22107923046411235,0.22107923046411235,ok,multivariable,NA
dY,all_predictors,Y,Y_d2,-0.7016235739319899,0.7016235739319899,ok,multivariable,NA
dY,all_predictors,X_d1,X_d2,-0.06639219955243297,0.06639219955243297,ok,multivariable,NA
dY,all_predictors,X_d1,Y_d2,0.770626239664295,0.770626239664295,ok,multivariable,NA
dY,all_predictors,X_d2,Y_d2,-0.5792736275543574,0.5792736275543574,ok,multivariable,NA
dX,all_predictors,X,X_d2,-0.6382550204210199,0.6382550204210199,ok,pairwise,X
dX,all_predictors,Y,Y_d1,-0.013557062946597965,0.013557062946597965,ok,pairwise,Y
dX,all_predictors,Y,Y_d2,-0.7016235739319899,0.7016235739319899,ok,pairwise,Y
dX,all_predictors,Y_d1,Y_d2,-0.058573637807261415,0.058573637807261415,ok,pairwise,Y
dY,all_predictors,X,X_d1,-0.02144970939439659,0.02144970939439659,ok,pairwise,X
dY,all_predictors,X,X_d2,-0.6382550204210199,0.6382550204210199,ok,pairwise,X
dY,all_predictors,X_d1,X_d2,-0.06639219955243297,0.06639219955243297,ok,pairwise,X
dY,all_predictors,Y,Y_d2,-0.7016235739319899,0.7016235739319899,ok,pairwise,Y
